id,name,now_cost,position,team,news,corners_and_indirect_freekicks_order,yellow_cards,ict_index_rank_type,red_cards,expected_assists,influence_rank,now_cost_rank,selected_rank,form_rank_type,creativity_rank,expected_goals_per_90,expected_assists_per_90,threat_rank,bps,ict_index,now_cost_rank_type,web_name,influence_rank_type,saves,clean_sheets_per_90,influence,creativity,goals_conceded_per_90,ep_next,saves_per_90,direct_freekicks_order,minutes,selected_rank_type,expected_goals_conceded,news_added,value_season,expected_goals,bonus,chance_of_playing_next_round,own_goals,threat,goals_scored,expected_goals_conceded_per_90,total_points,goals_conceded,expected_goal_involvements,points_per_game_rank,assists,threat_rank_type,starts,points_per_game_rank_type,status,clean_sheets,expected_goal_involvements_per_90,penalties_missed,penalties_saved,selected_by_percent,starts_per_90,points_per_game,creativity_rank_type,ict_index_rank,penalties_order,form_rank
67,Siriki Dembélé,45,MID,Bournemouth,Permanent Transfer to Birmingham,,0,156,0,0.21,352,451,616,28,286,0.14,0.18,308,20,11.3,224,Siriki,157,0,0.0,31.8,52.3,1.73,0.0,0.0,,104,255,2.28,2023-07-17T06:20:36.127600Z,1.3,0.16,0,0.0,0,28.0,0,1.97,6,2,0.37,370,0,154,0,167,u,0,0.32,0,0,0.0,0.0,1.0,151,337,,257
68,Ryan Fredericks,45,DEF,Bournemouth,Calf injury - 25% chance of playing,,1,125,0,0.29,328,326,525,79,312,0.0,0.05,327,63,10.6,50,Fredericks,125,0,0.0,66.0,26.7,1.88,0.5,0.0,,527,196,10.14,2023-08-06T23:30:05.414382Z,2.7,0.00,0,25.0,0,12.0,0,1.73,12,11,0.29,364,0,125,5,134,d,0,0.05,0,0,0.1,0.85,1.0,117,340,,132
69,James Hill,40,DEF,Bournemouth,,,0,173,0,0.00,455,623,307,51,448,0.0,0.0,433,0,0.0,201,Hill,173,0,0.0,0.0,0.0,0.0,1.0,0.0,,0,114,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,464,0,171,0,174,a,0,0.0,0,0,0.3,0.0,0.0,173,458,,90
70,Lloyd Kelly,45,DEF,Bournemouth,Knock - 50% chance of playing,,3,74,0,0.70,134,442,585,156,217,0.01,0.03,313,372,56.3,127,Kelly,47,0,0.22,419.8,114.0,1.68,1.0,0.0,,2040,205,35.92,2023-07-26T15:30:04.054546Z,13.3,0.17,5,50.0,0,26.0,0,1.58,60,38,0.87,183,2,117,23,69,d,5,0.04,0,0,0.0,1.01,2.6,64,216,,248
71,Gavin Kilkenny,45,MID,Bournemouth,,,0,209,0,0.00,537,475,466,39,536,0.0,0.0,529,0,0.0,235,Kilkenny,208,0,0.0,0.0,0.0,0.0,1.0,0.0,,0,157,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,542,0,208,0,212,a,0,0.0,0,0,0.1,0.0,0.0,210,539,,281
72,Justin Kluivert,50,MID,Bournemouth,,,0,260,0,0.00,608,252,206,147,607,0.0,0.0,605,0,0.0,163,Kluivert,260,0,0.0,0.0,0.0,0.0,1.6,0.0,,0,65,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,609,0,260,0,260,a,0,0.0,0,0,0.6,0.0,0.0,260,609,,443
73,Jamal Lowe,50,MID,Bournemouth,,,0,184,0,0.01,391,194,595,108,369,0.0,0.08,580,6,0.1,124,Lowe,183,0,0.0,0.2,0.3,0.0,1.6,0.0,,11,241,0.62,,0.4,0.00,0,,0,0.0,0,5.07,2,0,0.01,388,0,244,0,183,a,0,0.08,0,0,0.0,0.0,1.0,184,394,,385
74,Emiliano Marcondes,45,MID,Bournemouth,,,0,182,0,0.00,385,356,541,7,483,0.0,0.0,472,3,0.1,203,Marcondes,179,0,0.0,1.2,0.0,11.25,1.0,0.0,,8,204,0.28,,0.2,0.00,0,,0,0.0,0,3.15,1,1,0.00,367,0,185,0,164,a,0,0.0,0,0,0.0,0.0,1.0,190,392,,162
75,Chris Mepham,45,DEF,Bournemouth,,,7,48,0,0.55,84,428,445,148,284,0.04,0.02,190,369,74.4,119,Mepham,26,0,0.2,556.4,54.4,2.13,2.0,0.0,,2197,169,42.46,,9.6,0.96,6,,2,134.0,0,1.74,43,52,1.51,295,0,44,24,111,a,5,0.06,0,0,0.1,0.98,1.7,101,171,,234
76,Kieffer Moore,50,FWD,Bournemouth,,,1,27,0,0.50,236,195,231,24,237,0.3,0.04,113,161,59.5,44,Moore,22,0,0.21,219.4,100.1,2.41,1.4,0.0,,1269,44,25.51,,11.4,4.18,3,,0,280.0,4,1.81,57,34,4.68,241,0,28,12,28,a,3,0.34,0,0,0.5,0.85,2.1,29,206,,386
77,Norberto Murara Neto,45,GKP,Bournemouth,,,4,11,0,0.02,36,321,196,49,470,0.0,0.0,456,510,72.8,16,Neto,10,100,0.23,727.6,0.0,1.47,2.3,3.77,,2385,29,44.70,,20.7,0.00,9,,0,0.0,0,1.69,93,39,0.02,101,0,50,27,20,a,6,0.0,0,0,0.8,1.02,3.4,58,178,,127
78,Dango Ouattara,50,MID,Bournemouth,,,1,88,0,1.68,204,298,507,176,121,0.26,0.12,112,163,82.5,192,O.Dango,92,0,0.07,280.8,262.5,1.67,1.6,0.0,,1239,176,25.86,,9.8,3.52,4,,0,283.0,1,1.88,49,23,5.20,190,3,74,15,75,a,1,0.38,0,0,0.1,1.09,2.6,84,148,,489
79,Ben Pearson,45,MID,Bournemouth,Permanent transfer to Stoke City,,1,165,0,0.02,358,363,635,10,343,0.02,0.01,332,32,3.7,206,Pearson,161,0,0.32,21.0,6.4,3.19,0.0,0.0,,282,268,5.92,2023-07-11T08:58:20.803049Z,2.0,0.05,0,0.0,0,9.0,0,1.89,9,10,0.07,341,0,164,3,151,u,1,0.03,0,0,0.0,0.96,1.3,169,363,,169
80,Darren Randolph,40,GKP,Bournemouth,,,0,33,0,0.00,395,538,209,5,378,0.0,0.0,360,0,0.0,34,Randolph,33,0,0.0,0.0,0.0,0.0,1.0,0.0,,0,31,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,404,0,6,0,33,a,0,0.0,0,0,0.6,0.0,0.0,15,398,,5
81,Joe Rothwell,50,MID,Bournemouth,,2.0,1,135,0,1.47,288,206,593,116,181,0.01,0.13,310,167,30.6,132,Rothwell,125,0,0.27,127.4,153.3,1.34,1.6,0.0,4.0,1010,239,17.29,,6.6,0.16,0,,0,27.0,0,1.54,33,15,1.63,308,1,155,12,132,a,3,0.14,0,0,0.0,1.07,1.6,113,288,,397
82,Antoine Semenyo,45,FWD,Bournemouth,Shin injury - 25% chance of playing,,0,38,0,0.02,342,470,166,14,313,0.13,0.01,303,56,10.7,74,Semenyo,37,0,0.0,50.0,26.5,2.16,0.2,0.0,,250,34,7.70,2023-08-06T23:30:05.439700Z,4.0,0.36,1,25.0,0,32.0,1,2.77,18,6,0.38,306,0,39,2,34,d,0,0.14,0,0,1.1,0.72,1.6,37,339,,276
83,Marcos Senesi,45,DEF,Bournemouth,,,7,39,0,0.35,72,420,371,142,258,0.06,0.01,211,462,79.6,113,Senesi,19,0,0.18,602.2,79.1,1.99,2.0,0.0,,2489,141,47.62,,15.3,1.66,5,,0,113.0,2,1.72,69,55,2.01,222,0,61,29,84,a,5,0.07,0,0,0.2,1.05,2.2,89,156,,226
84,Adam Smith,45,DEF,Bournemouth,Muscle injury - 25% chance of playing,,11,40,0,1.57,136,312,517,70,115,0.02,0.05,231,400,78.3,41,Smith,49,0,0.21,416.6,276.9,1.78,0.5,0.0,,2940,194,54.01,2023-08-06T23:30:05.454428Z,16.4,0.50,5,25.0,0,88.0,0,1.65,74,58,2.07,251,1,72,34,94,d,7,0.07,0,0,0.1,1.04,2.0,23,157,,118
85,Dominic Solanke,65,FWD,Bournemouth,,,2,9,0,2.30,92,46,103,65,114,0.29,0.07,13,339,185.7,17,Solanke,8,0,0.25,528.8,282.1,1.63,2.2,0.0,,2865,20,51.51,,20.0,9.09,14,,0,1053.0,6,1.62,130,52,11.39,61,10,8,32,11,a,8,0.36,0,0,3.0,1.01,3.9,10,40,1.0,592
86,Marcus Tavernier,55,MID,Bournemouth,Knock - 25% chance of playing,4.0,1,59,0,1.37,116,117,532,203,95,0.16,0.07,68,315,124.2,72,Tavernier,54,0,0.26,459.8,348.4,1.91,0.5,0.0,3.0,1740,197,31.77,2023-07-26T15:30:04.076941Z,17.1,3.13,12,25.0,0,436.0,5,1.64,94,37,4.50,43,4,49,19,20,d,5,0.23,0,0,0.0,0.98,4.1,72,83,,530
87,Hamed Traorè,50,MID,Bournemouth,,1.0,0,128,0,1.15,313,269,576,157,144,0.22,0.24,300,60,33.8,173,Hamed Traorè,140,0,0.42,84.0,218.5,1.69,1.6,0.0,6.0,425,228,9.94,,2.8,1.04,0,,0,36.0,0,2.1,14,8,2.19,264,0,151,5,106,a,2,0.46,0,0,0.0,1.06,2.0,96,277,,460
88,Mark Travers,40,GKP,Bournemouth,On loan to Stoke City for the season,,0,18,0,0.00,197,597,266,35,426,0.0,0.0,411,193,29.1,64,Travers,18,36,0.17,290.0,0.0,2.78,0.0,3.13,,1035,42,19.68,2023-07-28T08:25:34.409705Z,7.0,0.00,1,0.0,0,0.0,0,1.71,28,32,0.00,214,0,36,11,25,u,2,0.0,0,0,0.3,0.96,2.3,45,292,,64
89,Illia Zabarnyi,45,DEF,Bournemouth,,,0,129,0,0.01,332,493,458,173,354,0.0,0.0,539,54,5.8,144,Zabarnyi,126,0,0.0,58.0,1.4,1.52,2.0,0.0,,297,176,5.12,,1.6,0.00,0,,0,0.0,0,1.55,7,5,0.01,332,0,208,3,122,a,0,0.0,0,0,0.1,0.91,1.4,131,357,,299
595,Milos Kerkez,45,DEF,Bournemouth,,,0,211,0,0.00,569,528,315,179,567,0.0,0.0,562,0,0.0,150,Kerkez,211,0,0.0,0.0,0.0,0.0,2.0,0.0,,0,116,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,572,0,211,0,211,a,0,0.0,0,0,0.2,0.0,0.0,211,570,,334
607,Ionuț Radu,45,GKP,Bournemouth,,,0,68,0,0.00,502,412,436,59,502,0.0,0.0,493,0,0.0,26,Radu,68,0,0.0,0.0,0.0,0.0,2.3,0.0,,0,62,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,510,0,60,0,68,a,0,0.0,0,0,0.1,0.0,0.0,65,505,,218
619,Ben Greenwood,40,DEF,Bournemouth,,,0,174,0,0.00,457,626,567,53,450,0.0,0.0,435,0,0.0,203,Greenwood,174,0,0.0,0.0,0.0,0.0,1.0,0.0,,0,202,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,466,0,172,0,175,a,0,0.0,0,0,0.0,0.0,0.0,174,460,,93
90,Kristoffer Ajer,45,DEF,Brentford,,,0,119,0,0.12,303,386,284,117,316,0.0,0.01,309,129,15.1,88,Ajer,117,0,0.47,96.8,24.7,1.65,2.0,0.0,,763,103,11.34,,6.4,0.04,0,,0,27.0,0,1.34,29,14,0.16,118,0,115,9,33,a,4,0.01,0,0,0.3,1.06,3.2,118,326,,192
91,Ellery Balcombe,40,GKP,Brentford,,,0,55,0,0.00,437,602,300,36,429,0.0,0.0,414,0,0.0,65,Balcombe,55,0,0.0,0.0,0.0,0.0,1.0,0.0,,0,48,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,446,0,37,0,55,a,0,0.0,0,0,0.3,0.0,0.0,46,440,,69
92,Shandon Baptiste,45,MID,Brentford,,,1,133,1,0.53,294,461,87,34,189,0.05,0.08,276,123,31.2,230,Baptiste,129,0,0.15,112.8,144.5,0.9,1.0,0.0,,600,30,7.51,,6.4,0.32,0,,0,54.0,0,1.13,29,6,0.85,344,2,138,4,152,a,1,0.13,0,0,4.1,0.6,1.3,117,285,,267
93,Mads Bech Sørensen,40,DEF,Brentford,,,0,138,0,0.00,382,596,332,29,370,0.0,0.0,410,12,0.2,179,Bech,136,0,0.0,2.6,0.2,0.0,1.0,0.0,,18,123,0.28,,1.0,0.00,0,,0,0.0,0,1.4,4,0,0.00,360,0,153,0,131,a,0,0.0,0,0,0.2,0.0,1.0,137,390,,63
94,Mads Bidstrup,45,MID,Brentford,Transfer to Red Bull Salzburg on a permanent basis,,0,217,0,0.00,547,496,628,52,545,0.0,0.0,541,0,0.0,248,Bidstrup,216,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,262,0.00,2023-07-19T08:50:35.624414Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,551,0,217,0,219,u,0,0.0,0,0,0.0,0.0,0.0,217,549,,302
95,Sergi Canós Tenés,50,MID,Brentford,,,0,169,0,0.04,375,216,529,125,333,0.09,0.05,341,14,2.8,141,Canós,172,0,0.0,7.0,13.5,2.47,1.6,0.0,,73,195,1.79,,1.0,0.07,0,,0,6.0,0,2.21,5,2,0.11,389,0,168,0,184,a,0,0.14,0,0,0.1,0.0,1.0,167,369,,407
96,Nathan Collins,45,DEF,Brentford,,,2,77,1,0.21,126,464,280,163,299,0.01,0.01,298,326,51.5,134,Collins,43,0,0.2,437.0,38.9,1.84,2.0,0.0,,1811,101,32.93,,10.9,0.23,6,,0,36.0,0,1.64,49,37,0.44,269,0,111,19,102,a,4,0.02,0,0,0.3,0.94,1.9,111,225,,270
97,Matthew Cox,40,GKP,Brentford,On loan to Bristol Rovers for the season,,0,61,0,0.00,465,635,600,43,459,0.0,0.0,444,0,0.0,72,Cox,61,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,70,0.00,2023-07-26T11:24:14.392215Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,474,0,44,0,61,u,0,0.0,0,0,0.0,0.0,0.0,53,468,,102
98,Mikkel Damsgaard,50,MID,Brentford,,,4,116,0,1.32,280,276,416,162,172,0.21,0.12,177,131,46.5,178,Damsgaard,121,0,0.28,140.2,172.1,1.3,1.6,0.0,,970,141,14.89,,6.6,2.31,0,,0,152.0,0,1.38,33,14,3.63,348,0,111,9,156,a,3,0.33,0,0,0.1,0.84,1.3,109,243,,467
99,Josh Dasilva,50,MID,Brentford,Knock - 75% chance of playing,,1,98,0,1.62,187,222,410,130,148,0.1,0.11,158,274,69.6,146,Dasilva,87,0,0.33,305.8,208.5,1.12,1.2,0.0,,1371,136,17.89,2023-08-06T23:30:05.481868Z,16.2,1.58,3,75.0,0,182.0,4,1.17,81,17,3.20,226,2,102,14,89,d,5,0.21,0,0,0.1,0.92,2.2,98,185,4.0,413
100,Halil Dervişoğlu,45,FWD,Brentford,Transfer to Galatasaray on a permanent basis,,0,41,0,0.00,534,468,579,13,533,0.45,0.0,331,11,1.0,73,Dervişoğlu,51,0,0.0,0.0,0.0,0.0,0.0,0.0,,6,77,0.10,2023-07-19T08:49:49.674290Z,0.9,0.03,0,0.0,0,10.0,0,1.5,4,0,0.03,47,1,41,0,10,u,0,0.45,0,0,0.0,0.0,4.0,51,379,,274
101,Mark Flekken,45,GKP,Brentford,,,0,66,0,0.00,483,353,122,55,481,0.0,0.0,469,0,0.0,22,Flekken,66,0,0.0,0.0,0.0,0.0,2.3,0.0,,0,16,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,491,0,56,0,66,a,0,0.0,0,0,2.1,0.0,0.0,62,486,,159
102,Charlie Goode,40,DEF,Brentford,,,0,155,0,0.00,428,589,377,27,419,0.0,0.0,403,0,0.0,177,Goode,155,0,0.0,0.0,0.0,0.0,1.0,0.0,,0,145,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,437,0,151,0,156,a,0,0.0,0,0,0.2,0.0,0.0,154,431,,56
103,Rico Henry,45,DEF,Brentford,Knock - 75% chance of playing,,4,18,0,2.90,115,389,114,120,74,0.05,0.08,152,505,107.0,91,Henry,38,0,0.31,460.0,411.5,1.28,1.5,0.0,,3240,37,48.49,2023-08-06T23:30:05.495330Z,24.9,1.80,4,75.0,0,197.0,0,1.35,112,46,4.70,137,3,23,37,43,d,11,0.13,0,0,2.5,1.03,3.0,11,105,,195
104,Aaron Hickey,45,DEF,Brentford,,,7,86,0,0.58,231,488,264,171,209,0.02,0.03,222,310,45.1,142,Hickey,89,0,0.23,227.4,120.7,1.41,2.0,0.0,,1918,94,28.13,,14.0,0.38,2,,0,102.0,0,1.32,63,30,0.96,208,3,67,23,82,a,5,0.05,0,0,0.4,1.08,2.4,60,247,,294
105,Vitaly Janelt,55,MID,Brentford,,,3,81,0,1.56,140,120,452,206,124,0.1,0.06,125,357,91.3,75,Janelt,61,0,0.33,411.2,258.8,1.14,2.1,0.0,,2201,153,29.68,,15.5,2.33,5,,0,243.0,3,1.21,85,28,3.89,211,1,80,24,83,a,8,0.16,0,0,0.1,0.98,2.4,86,132,,533
106,Mathias Jensen,55,MID,Brentford,,2.0,5,36,0,4.79,62,122,174,207,21,0.08,0.15,149,498,164.1,76,Jensen,27,0,0.32,644.0,787.9,1.28,2.1,0.0,2.0,2805,57,40.47,,24.0,2.34,11,,0,208.0,5,1.3,132,40,7.13,84,7,97,37,35,a,10,0.23,0,0,1.0,1.19,3.6,18,49,,535
107,Keane Lewis-Potter,50,MID,Brentford,,,0,143,0,0.29,346,267,545,155,273,0.14,0.08,209,37,21.9,171,Lewis-Potter,155,0,0.0,42.0,64.0,1.15,1.6,0.0,,313,207,4.15,,2.8,0.49,0,,0,114.0,0,1.19,14,4,0.78,337,1,116,3,149,a,0,0.22,0,0,0.0,0.86,1.4,143,309,,458
108,Bryan Mbeumo,65,MID,Brentford,Dead leg - 75% chance of playing,1.0,5,13,0,5.53,46,53,41,247,19,0.29,0.17,21,556,239.5,32,Mbeumo,21,0,0.31,692.6,808.6,1.21,1.8,0.0,3.0,2905,12,41.96,2023-08-06T23:30:05.510200Z,23.1,9.48,19,75.0,0,895.0,9,1.3,150,39,15.01,62,9,12,36,28,d,10,0.46,0,0,9.3,1.12,3.9,16,19,2.0,599
109,Ben Mee,50,DEF,Brentford,,,2,13,0,0.74,26,158,53,182,231,0.09,0.02,96,643,122.2,14,Mee,5,0,0.33,780.6,103.1,1.1,2.3,0.0,,3269,19,46.31,,28.6,3.19,11,,0,336.0,3,1.27,143,40,3.93,54,2,6,37,9,a,12,0.11,0,0,7.3,1.02,3.9,73,86,,349
110,Christian Nørgaard,55,MID,Brentford,,,6,89,0,1.74,159,97,390,189,170,0.08,0.09,117,309,82.3,58,Nørgaard,71,0,0.31,379.2,173.7,1.17,2.1,0.0,,1763,127,25.13,,12.9,1.64,6,,0,269.0,1,1.28,71,23,3.38,122,6,75,21,50,a,6,0.17,0,0,0.2,1.07,3.2,108,149,,510
111,Frank Onyeka,50,MID,Brentford,Dead leg - 75% chance of playing,,0,127,0,0.78,284,270,603,158,244,0.11,0.08,217,111,34.2,174,Onyeka,123,0,0.32,136.4,93.7,1.18,1.2,0.0,,837,247,15.65,2023-08-06T23:30:05.525477Z,7.6,1.03,0,75.0,0,111.0,0,1.68,38,11,1.81,288,3,119,8,123,d,3,0.19,0,0,0.0,0.86,1.8,135,276,,461
112,Ethan Pinnock,45,DEF,Brentford,,,0,10,0,1.11,19,432,119,152,224,0.09,0.04,98,575,127.2,123,Pinnock,3,0,0.33,840.8,110.1,1.13,2.0,0.0,,2700,39,40.17,,24.9,2.73,6,,1,319.0,3,1.34,112,34,3.84,72,0,7,30,16,a,10,0.13,0,0,2.3,1.0,3.7,70,78,,238
113,David Raya Martin,50,GKP,Brentford,,,1,1,0,0.12,4,203,59,67,321,0.0,0.0,348,822,117.3,8,Raya,2,154,0.32,1146.0,20.1,1.21,3.2,4.05,,3420,11,50.12,,33.2,0.11,20,,1,4.0,0,1.32,166,46,0.23,23,0,1,38,4,a,12,0.0,0,0,6.5,1.0,4.4,3,92,,394
114,Mads Roerslev Rasmussen,45,DEF,Brentford,,,0,101,0,0.82,262,431,476,151,208,0.02,0.07,288,201,33.4,122,Roerslev,103,0,0.41,167.6,120.7,0.98,2.0,0.0,,1101,182,17.67,,10.7,0.28,0,,0,46.0,0,1.44,48,12,1.10,207,0,106,12,81,a,5,0.09,0,0,0.1,0.98,2.4,59,280,,237
115,Kevin Schade,55,MID,Brentford,,,2,124,0,0.67,320,146,413,224,216,0.26,0.08,148,76,39.8,93,Schade,142,0,0.37,74.4,115.5,0.87,2.1,0.0,,723,138,7.18,,5.3,2.07,0,,0,209.0,0,0.89,29,7,2.74,311,1,96,7,135,a,3,0.34,0,0,0.1,0.87,1.6,126,263,,559
116,Thomas Strakosha,40,GKP,Brentford,,,0,44,0,0.00,414,569,235,22,403,0.0,0.0,386,0,0.0,51,Strakosha,44,0,0.0,0.0,0.0,0.0,1.0,0.0,,0,37,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,423,0,23,0,44,a,0,0.0,0,0,0.5,0.0,0.0,32,417,,36
117,Ivan Toney,80,FWD,Brentford,Suspended until 17 Jan,,9,3,0,3.72,12,11,409,77,67,0.57,0.11,8,607,258.7,4,Toney,3,0,0.3,926.8,424.3,1.28,0.0,0.0,1.0,2953,60,43.65,2023-07-05T16:30:03.752728Z,22.8,18.74,35,0.0,0,1240.0,20,1.33,182,42,22.46,9,4,5,33,3,s,10,0.68,1,0,0.1,1.01,5.5,3,14,1.0,627
118,Ryan Trevitt,45,MID,Brentford,Joined Exeter City on a season-long loan - Expected back 01 Jul,,0,234,0,0.00,574,533,612,77,571,0.0,0.0,566,0,0.0,273,Trevitt,234,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,254,0.00,2023-07-18T20:00:03.847234Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,576,0,233,0,235,n,0,0.0,0,0,0.0,0.0,0.0,234,575,,339
119,Yoane Wissa,60,FWD,Brentford,,,3,17,0,1.08,168,73,72,61,158,0.32,0.06,72,292,96.8,25,Wissa,16,0,0.4,366.2,185.3,0.96,2.1,0.0,,1587,13,21.64,,18.5,5.65,6,,0,424.0,7,1.23,111,17,6.73,159,4,19,16,18,a,7,0.38,0,0,4.9,0.91,2.9,17,124,,578
120,Yegor Yarmolyuk,45,MID,Brentford,,,0,226,0,0.00,563,518,184,66,560,0.0,0.0,556,0,0.0,262,Yarmolyuk,226,0,0.0,0.0,0.0,0.0,1.0,0.0,,0,61,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,566,0,226,0,228,a,0,0.0,0,0,0.9,0.0,0.0,226,564,,324
121,Mathias Jorgensen,45,DEF,Brentford,,,2,104,0,0.15,246,310,444,69,297,0.11,0.01,273,191,30.0,40,Zanka,96,0,0.33,203.2,39.4,1.23,2.0,0.0,,1097,168,19.73,,10.0,1.33,4,,1,54.0,0,1.62,45,15,1.48,195,1,100,11,73,a,4,0.12,0,0,0.1,0.9,2.5,109,289,,116
620,Michale Olakigbe,45,MID,Brentford,,,0,224,0,0.00,561,516,634,64,558,0.0,0.0,554,0,0.0,260,Olakigbe,224,0,0.0,0.0,0.0,0.0,1.0,0.0,,0,267,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,564,0,224,0,226,a,0,0.0,0,0,0.0,0.0,0.0,224,562,,322
122,Simon Adingra,50,MID,Brighton,,,0,267,0,0.00,622,299,289,177,622,0.0,0.0,619,0,0.0,193,Adingra,267,0,0.0,0.0,0.0,0.0,2.1,0.0,,0,88,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,622,0,267,0,267,a,0,0.0,0,0,0.3,0.0,0.0,267,622,,490
123,Steven Alzate,45,MID,Brighton,,,0,199,0,0.00,518,441,387,24,518,0.0,0.0,509,0,0.0,220,Alzate,198,0,0.0,0.0,0.0,0.0,1.5,0.0,,0,126,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,525,0,197,0,203,a,0,0.0,0,0,0.2,0.0,0.0,201,521,,247
124,Yasin Ayari,45,MID,Brighton,,,0,166,0,0.30,374,519,509,67,314,0.03,0.42,349,14,3.5,263,Ayari,171,0,0.0,7.4,25.5,2.77,1.5,0.0,,65,178,1.45,,0.7,0.02,0,,0,3.0,0,2.01,3,2,0.32,382,0,174,1,177,a,0,0.45,0,0,0.1,1.38,1.0,160,364,,325
125,Facundo Buonanotte,50,MID,Brighton,,,2,139,0,0.39,310,302,499,180,235,0.21,0.06,224,72,28.5,196,Buonanotte,138,0,0.16,90.0,100.9,1.94,2.1,0.0,,558,171,11.93,,5.2,1.30,2,,0,102.0,1,1.92,26,12,1.69,267,1,121,6,109,a,1,0.27,0,0,0.1,0.97,2.0,132,295,,493
126,Moisés Caicedo Corozo,50,MID,Brighton,,,10,47,0,2.51,73,290,104,170,32,0.05,0.07,146,503,148.2,186,Caicedo,36,0,0.29,589.8,680.4,1.35,2.1,0.0,,3138,37,45.90,,15.8,1.67,0,,0,210.0,1,1.32,79,47,4.18,243,1,95,34,97,a,10,0.12,0,0,3.0,0.98,2.1,26,63,,481
127,Aaron Connolly,45,FWD,Brighton,Permanent move to Hull City,,0,49,0,0.00,516,439,432,8,516,0.0,0.0,507,0,0.0,68,Connolly,47,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,64,0.00,2023-08-04T09:39:43.029546Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,523,0,49,0,49,u,0,0.0,0,0,0.1,0.0,0.0,47,519,,245
128,Mahmoud Dahoud,50,MID,Brighton,,,0,248,0,0.00,588,212,382,122,587,0.0,0.0,585,0,0.0,138,Dahoud,248,0,0.0,0.0,0.0,0.0,2.1,0.0,,0,123,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,589,0,248,0,248,a,0,0.0,0,0,0.2,0.0,0.0,248,589,,403
129,Lewis Dunk,50,DEF,Brighton,,,4,22,0,0.90,54,171,80,185,177,0.05,0.02,151,648,102.4,17,Dunk,14,0,0.33,661.4,163.6,1.39,2.8,0.0,3.0,3240,26,46.43,,22.4,1.67,7,,1,198.0,1,1.29,112,50,2.57,126,1,22,36,38,a,12,0.07,0,0,4.4,1.0,3.1,47,114,,362
130,Julio Enciso,55,MID,Brighton,,,1,86,0,1.18,216,142,69,222,167,0.45,0.13,81,189,83.8,91,Enciso,98,0,0.45,262.8,177.5,1.36,2.6,0.0,,794,21,14.76,,10.4,3.93,7,,0,399.0,4,1.67,57,12,5.11,157,3,57,7,65,a,4,0.58,0,0,5.4,0.79,2.9,106,146,,555
131,Pervis Estupiñán,50,DEF,Brighton,,,4,5,0,3.88,76,232,3,192,24,0.06,0.13,105,593,162.5,24,Estupiñan,21,0,0.34,575.2,757.9,1.45,2.8,0.0,,2674,1,41.60,,25.6,1.80,15,,0,297.0,1,1.4,128,43,5.68,74,7,9,31,18,a,10,0.19,0,0,53.1,1.04,3.7,4,51,,423
132,Evan Ferguson,60,FWD,Brighton,,,1,21,0,0.54,199,80,49,62,183,0.52,0.05,92,213,79.9,26,Ferguson,20,0,0.57,286.2,150.4,1.15,2.6,0.0,,942,10,13.45,,10.8,5.44,8,,0,361.0,6,1.29,65,12,5.98,106,2,25,10,13,a,6,0.57,0,0,7.7,0.96,3.4,21,155,,585
133,Billy Gilmour,50,MID,Brighton,,,1,151,0,0.80,327,264,439,153,281,0.09,0.14,301,105,15.8,169,Gilmour,145,0,0.36,67.6,56.5,1.43,2.1,0.0,,502,148,9.35,,4.2,0.50,0,,0,33.0,0,1.68,21,8,1.30,323,1,152,7,141,a,2,0.23,0,0,0.1,1.25,1.5,148,325,,455
134,Pascal Groß,65,MID,Brighton,,1.0,7,8,0,8.93,13,41,73,240,5,0.14,0.25,44,748,273.2,25,Gross,5,0,0.31,918.6,1227.5,1.42,2.8,0.0,,3240,23,48.43,,24.5,5.19,14,,1,582.0,9,1.35,159,51,14.12,30,8,31,37,13,a,11,0.39,0,0,4.8,1.03,4.3,3,11,2.0,587
